model,category,light,filename,question,ground_truth,prediction,is_correct
qwen2vl,Object Counting,day,Sequence_Day_18_frame_9480.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_4020.jpg,Are there more motorcycle's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_3210.jpg,How many objects of type bus are in the image?,1,0,False
qwen2vl,Object Counting,day,Sequence_Day_9_frame_6360.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_7980.jpg,Are there more truck's than rickshaw's?,Yes,no,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_3000.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_660.jpg,Is there a truck present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_10560.jpg,How many objects of type car are in the image?,3,4,False
qwen2vl,Object Counting,day,Sequence_Day_14_frame_1770.jpg,How many objects of type car are in the image?,2,3,False
qwen2vl,Object Counting,day,Sequence_Day_17_frame_1530.jpg,How many objects of type car are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_150.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_17_frame_2010.jpg,How many objects of type bus are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_12_frame_600.jpg,Is there a rider present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_11_frame_1320.jpg,Are there more rickshaw's than rider's?,No,yes,False
qwen2vl,Object Counting,day,Sequence_Day_9_frame_1950.jpg,How many objects of type car are in the image?,3,3,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_3750.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_8_frame_630.jpg,Is there a person present in the image?,Yes,no,False
qwen2vl,Object Counting,day,Sequence_Day_12_frame_510.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_2790.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_8_frame_2190.jpg,Are there more car's than truck's?,No,yes,False
qwen2vl,Object Counting,day,Sequence_Day_12_frame_480.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_7920.jpg,Is there a rickshaw present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_5010.jpg,Are there more person's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_3570.jpg,How many objects of type motorcycle are in the image?,2,2,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_14430.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_1020.jpg,Are there more car's than truck's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_3660.jpg,How many objects of type truck are in the image?,1,0,False
qwen2vl,Object Counting,day,Sequence_Day_13_frame_5430.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_240.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_8430.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_8820.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_11730.jpg,Is there a bus present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_12_frame_2610.jpg,Is there a traffic sign present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_3240.jpg,How many objects of type person are in the image?,2,2,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_4290.jpg,How many objects of type traffic sign are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_9720.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_12_frame_750.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_8550.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_4020.jpg,Are there more car's than motorcycle's?,Yes,no,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_7260.jpg,How many objects of type car are in the image?,1,2,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_960.jpg,How many objects of type person are in the image?,4,0,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_12450.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_60.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_17_frame_1170.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_6000.jpg,How many objects of type car are in the image?,3,2,False
qwen2vl,Object Counting,day,Sequence_Day_13_frame_5160.jpg,Is there a truck present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_17_frame_2610.jpg,Is there a rider present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_4650.jpg,Is there a rider present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_480.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_11340.jpg,Are there more car's than motorcycle's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_6390.jpg,Are there more truck's than motorcycle's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_8340.jpg,Is there a traffic light present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_3630.jpg,How many objects of type motorcycle are in the image?,2,1,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_3270.jpg,Are there more person's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_8_frame_810.jpg,Is there a motorcycle present in the image?,Yes,no,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_4710.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_12_frame_870.jpg,How many objects of type car are in the image?,7,10,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_10110.jpg,How many objects of type car are in the image?,2,1,False
qwen2vl,Object Counting,day,Sequence_Day_17_frame_3540.jpg,Are there more rider's than rider's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_2640.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_8640.jpg,Are there more bus's than rickshaw's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_5460.jpg,How many objects of type car are in the image?,3,2,False
qwen2vl,Object Counting,day,Sequence_Day_11_frame_300.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_3870.jpg,How many objects of type car are in the image?,1,2,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_8880.jpg,Are there more rider's than car's?,No,yes,False
qwen2vl,Object Counting,day,Sequence_Day_14_frame_4770.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_8640.jpg,Are there more traffic light's than car's?,No,yes,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_6300.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_4860.jpg,Is there a truck present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_12_frame_0.jpg,Are there more person's than motorcycle's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_210.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_4080.jpg,How many objects of type motorcycle are in the image?,3,2,False
qwen2vl,Object Counting,day,Sequence_Day_17_frame_3600.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_9240.jpg,How many objects of type rickshaw are in the image?,3,3,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_8820.jpg,How many objects of type person are in the image?,2,2,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_1650.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_10680.jpg,How many objects of type motorcycle are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_3810.jpg,How many objects of type rickshaw are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_11_frame_3450.jpg,How many objects of type car are in the image?,6,4,False
qwen2vl,Object Counting,day,Sequence_Day_12_frame_1620.jpg,Are there more traffic light's than car's?,No,yes,False
qwen2vl,Object Counting,day,Sequence_Day_8_frame_990.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_3090.jpg,How many objects of type car are in the image?,10,0,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_3780.jpg,Is there a headlight present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2400.jpg,Are there more headlight's than motorcycle's?,No,yes,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_3120.jpg,Are there more traffic light's than traffic light's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_3660.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_5130.jpg,How many objects of type car are in the image?,2,2,True
qwen2vl,Object Counting,night,Sequence_Night_13_frame_1020.jpg,How many objects of type person are in the image?,1,2,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_3180.jpg,Are there more motorcycle's than person's?,No,yes,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_4350.jpg,Is there a person present in the image?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_5100.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_1740.jpg,Are there more headlight's than traffic sign's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_5100.jpg,Are there more motorcycle's than car's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_8670.jpg,Is there a bus present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4650.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_1170.jpg,How many objects of type person are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_5040.jpg,Are there more person's than bus's?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_2460.jpg,Are there more traffic sign's than traffic sign's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_5100.jpg,Are there more person's than person's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4290.jpg,Are there more bus's than headlight's?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_2430.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_4350.jpg,Are there more person's than person's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2190.jpg,Is there a headlight present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_840.jpg,Are there more person's than person's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_10020.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_5280.jpg,How many objects of type motorcycle are in the image?,1,0,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_4980.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_8310.jpg,How many objects of type car are in the image?,3,1,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_3240.jpg,Is there a rickshaw present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_6990.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2430.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_12090.jpg,Are there more person's than car's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_1680.jpg,Are there more rider's than person's?,No,yes,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_0.jpg,How many objects of type animal are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_6990.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_1350.jpg,How many objects of type car are in the image?,2,1,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9780.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_3510.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2190.jpg,Are there more headlight's than headlight's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_3810.jpg,Are there more motorcycle's than rider's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_6330.jpg,How many objects of type motorcycle are in the image?,5,3,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_5160.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_1320.jpg,Are there more car's than motorcycle's?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_5130.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_3930.jpg,How many objects of type motorcycle are in the image?,1,0,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_11760.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_5220.jpg,How many objects of type car are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_4080.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_10800.jpg,How many objects of type car are in the image?,3,1,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_2100.jpg,Are there more traffic sign's than traffic sign's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_3990.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2130.jpg,Is there a rickshaw present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_2010.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_5160.jpg,How many objects of type car are in the image?,2,1,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9210.jpg,How many objects of type rickshaw are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_60.jpg,Is there a car present in the image?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_1350.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_5130.jpg,How many objects of type bus are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_13_frame_1230.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9810.jpg,Are there more car's than bus's?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4410.jpg,Are there more car's than bus's?,No,yes,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_3480.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9570.jpg,Is there a rider present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_4140.jpg,Are there more motorcycle's than rider's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_6480.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_1800.jpg,How many objects of type truck are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9210.jpg,Is there a rickshaw present in the image?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_2880.jpg,Is there a motorcycle present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4110.jpg,Is there a bus present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_5040.jpg,How many objects of type person are in the image?,2,0,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_6840.jpg,Are there more person's than motorcycle's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_2250.jpg,How many objects of type person are in the image?,1,0,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4860.jpg,How many objects of type person are in the image?,2,0,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_5100.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_5220.jpg,Are there more person's than person's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9780.jpg,How many objects of type car are in the image?,2,2,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4050.jpg,Are there more person's than motorcycle's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_2340.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_8130.jpg,How many objects of type bus are in the image?,1,1,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9720.jpg,How many objects of type motorcycle are in the image?,1,0,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_90.jpg,How many objects of type person are in the image?,4,0,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2100.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_810.jpg,Are there more person's than headlight's?,No,yes,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_11760.jpg,Are there more motorcycle's than rider's?,No,yes,False
qwen2vl,Object Counting,night,Sequence_Night_8_frame_6900.jpg,How many objects of type person are in the image?,3,1,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9780.jpg,Are there more car's than bus's?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_3810.jpg,Is there a truck present in the image?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_5400.jpg,Is there a person present in the image?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_12_frame_9720.jpg,Is there a motorcycle present in the image?,Yes,no,False
qwen2vl,Object Counting,night,Sequence_Night_17_frame_5760.jpg,How many objects of type person are in the image?,2,2,True
qwen2vl,Object Counting,night,Sequence_Night_13_frame_1380.jpg,Are there more bus's than bus's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_2100.jpg,Are there more person's than motorcycle's?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_3180.jpg,Are there more traffic sign's than traffic sign's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_4650.jpg,Is there a person present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_4740.jpg,Is there a bus present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_1560.jpg,How many objects of type car are in the image?,2,2,True
qwen2vl,Object Counting,night,Sequence_Night_13_frame_1290.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_17_frame_1530.jpg,How many objects of type car are in the image?,2,2,True
qwen2vl,Object Counting,night,Sequence_Night_16_frame_3180.jpg,How many objects of type traffic sign are in the image?,3,2,False
qwen2vl,Object Counting,night,Sequence_Night_16_frame_1860.jpg,Are there more headlight's than headlight's?,No,no,True
qwen2vl,Object Counting,night,Sequence_Night_8_frame_1680.jpg,Is there a rider present in the image?,Yes,yes,True
qwen2vl,Object Counting,night,Sequence_Night_12_frame_11760.jpg,How many objects of type motorcycle are in the image?,1,1,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_11310.jpg,What is the color of the car in the image?,darkslategray,blue,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_4830.jpg,"What class is the object at bounding box [804.7042236328125, 330.36358642578125, 931.3006591796875, 465.2973022460938]?",rickshaw,tuk tuk,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_8940.jpg,What is the color of the car in the image?,dimgray,black,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_6120.jpg,"What class is the object at bounding box [792.346923828125, 333.5953674316406, 821.0877685546875, 357.1199645996094]?",car,motorcycle,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_180.jpg,What is the color of the car in the image?,gray,black,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_7650.jpg,What is the color of the car in the image?,darkslategray,gray,True
qwen2vl,Object Description,day,Sequence_Day_9_frame_3330.jpg,What is the color of the car in the image?,gray,black,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_13980.jpg,"What class is the object at bounding box [437.6069641113281, 446.41088867187494, 510.0578308105469, 540.1865234375]?",motorcycle,motorcycle,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_10800.jpg,"What class is the object at bounding box [562.1480712890625, 373.0316772460937, 617.9842529296875, 430.19891357421875]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_17_frame_660.jpg,"What class is the object at bounding box [712.7094116210938, 444.9732513427734, 732.0905151367188, 491.09352111816406]?",person,sign,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_12330.jpg,What is the color of the car in the image?,gray,white,False
qwen2vl,Object Description,day,Sequence_Day_14_frame_1680.jpg,"What class is the object at bounding box [561.4285714285714, 349.61038961038963, 680.9090909090909, 450.90909090909093]?",car,bus,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_12000.jpg,"What class is the object at bounding box [745.0720825195312, 380.75958251953125, 853.3212280273438, 494.577880859375]?",rickshaw,truck,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_5490.jpg,What is the color of the truck in the image?,dimgray,brown,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_4740.jpg,"What class is the object at bounding box [680.3846153846154, 263.46153846153845, 719.6153846153845, 317.3076923076923]?",truck,truck,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_3270.jpg,"What class is the object at bounding box [942.8351745605469, 413.57812500000006, 1273.2392883300781, 655.82861328125]?",motorcycle,motorcycle,True
qwen2vl,Object Description,day,Sequence_Day_9_frame_1200.jpg,"What class is the object at bounding box [752.015503875969, 270.8527131782946, 829.5348837209302, 365.4263565891473]?",bus,person,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_2520.jpg,"What class is the object at bounding box [510.24656677246094, 288.5902099609375, 753.0633697509766, 495.15472412109375]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_10350.jpg,What is the color of the car in the image?,dimgray,gray,True
qwen2vl,Object Description,day,Sequence_Day_11_frame_3180.jpg,What is the color of the car in the image?,saddlebrown,red,False
qwen2vl,Object Description,day,Sequence_Day_14_frame_4920.jpg,"What class is the object at bounding box [1.4285714285715094, 345.3571428571429, 490.00000000000006, 614.6428571428571]?",car,truck,False
qwen2vl,Object Description,day,Sequence_Day_11_frame_2970.jpg,What is the color of the person in the image?,gray,yellow,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_3360.jpg,What is the color of the car in the image?,darkgray,black,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_3900.jpg,What is the color of the car in the image?,gray,black,False
qwen2vl,Object Description,day,Sequence_Day_15_frame_300.jpg,What is the color of the traffic light in the image?,dimgray,green,False
qwen2vl,Object Description,day,Sequence_Day_8_frame_1320.jpg,What is the color of the car in the image?,gray,white,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_14040.jpg,What is the color of the rider in the image?,darkslategray,blue,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_10050.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_4230.jpg,What is the color of the rider in the image?,dimgray,black,False
qwen2vl,Object Description,day,Sequence_Day_14_frame_120.jpg,What is the color of the truck in the image?,darkolivegreen,yellow,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_8250.jpg,What is the color of the car in the image?,gray,yellow,False
qwen2vl,Object Description,day,Sequence_Day_8_frame_1470.jpg,What is the color of the person in the image?,dimgray,green,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_3510.jpg,What is the color of the car in the image?,dimgray,silver,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_2730.jpg,What is the color of the car in the image?,slategray,yellow,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_13380.jpg,"What class is the object at bounding box [556.3673706054688, 370.08990478515625, 579.3776245117188, 407.99102783203125]?",motorcycle,motorcycle,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_2910.jpg,What is the color of the car in the image?,darkslategray,black,False
qwen2vl,Object Description,day,Sequence_Day_14_frame_180.jpg,"What class is the object at bounding box [641.9937744140625, 188.96519470214844, 656.0452880859375, 216.45448303222656]?",traffic light,truck,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_12570.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_30.jpg,"What class is the object at bounding box [718.4854125976562, 398.09204101562494, 751.6691284179689, 471.6468505859375]?",rider,store,False
qwen2vl,Object Description,day,Sequence_Day_11_frame_60.jpg,"What class is the object at bounding box [680.970703125, 377.873291015625, 813.761962890625, 472.2603759765625]?",car,truck,False
